longitude,latitude
-109.268806,31.328031
-106.274284,28.508839
-108.905,31.321944
-96.73556,17.08222
-111.05356,28.01536
-112.367,37.0376
-108.628889,37.481945
-109.561111,31.313611
-109.81833,32.235
-107.616667,38.85
-106.185278,35.058611
-104.211111,37.199444
-106.408,35.203
-100.561111,24.969719
-107.565278,27.131944
-107.12,34.055278
-107.63145,30.181794
-107.709175,29.492817
-105.5981,35.0047
-105.83333,35.66666
-104.30833,24.04556
-100.180281,23.672219
-100.18028,23.67222
-103.03333,29.66666
-102.5,27.633
-102.25,25.466667
-107.825,28.953333
-107.83056,28.95333
-105.833333,35.666667
-100.633333,25.388333
-104.501111,24.209167
-105.375,28.0825
-99.815,24.1
-100.209439,24.380831
-100.209444,24.380833
-91.981389,16.315278
-100.20944,24.38083
-100.138,20.52528
-99.861111,22.253889
-101.18333,20.38333
-100.35555600000001,25.613333
-100.35626786788339,25.613676835574964
-104.593056,24.0275
-102.25,22.520278
-101.521667,22.489167
-106.37944,29.13444
-104.12833,26.52528
-102.6,27.65
-104.666667,27.35
-104.667,27.35
-102.95,27.133
-103.725,26.101667
-103.478889,25.315556
-104.45,26.983
-106.65417,31.60306
-100.84694,20.23333
-100.38333,24.06667
-100.561111,24.969722
-103.616667,25.883333
-104.31841592655685,26.733283944616293
-104.329167,26.784722
-103.740556,26.118056
-100.62686913391778,25.087737839346712
-100.686389,25.139444
-100.95389,22.14306
-100.845556,22.133056
-100.811667,22.121111
-104,40.8
-101.017,25.367
-101.37,26.34
-103.483,27.95833
-108.67583,30.635
-106.81617137552905,30.53514069762519
-104.65528,24.02444
-110.15,34.9
-106.47833,31.735
-111.65,35.1833
-101.01667,22.18333
-112.4527,34.5547
-102.183333,25.45
-101.9978722222,38.026725
-103.5718833333,29.9783583333
-104.3915018997,33.6584773
-106.66949161,35.07857871
-104.6712180618,35.0253398231
-109.539173,36.1487
-100.8085583333,25.2777444444
-105.737305,36.4746629722
-109.4782377009,37.6140692972
-103.6429116502,30.3637367317
-112.9860674337,37.1988971544
-112.4743888889,34.5295027778
-112.87338975,35.2626489722
-103.9765109444,36.7818883611
-112.135752,36.057812
