"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http://unknown.org/captive","identificationID","occurrenceRemarks","informationWithheld","reproductiveCondition","elevation","institutionKey","recordNumber","habitat","associatedTaxa","http://unknown.org/recordID","locality","county","rights","startDayOfYear","http://unknown.org/recordEnteredBy","verbatimElevation","collectionID","higherClassification"
"1","Asclepias subverticillata (Gray) Vail","-106.0864","32.37154","cdround","gbif","2557766683","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:05:47.148+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-01-12T22:42:08","     4","New Mexico","2020"," 1"," 7","2020-01-07","2020-01-13T00:44:55.000+00:00","2022-03-29T21:05:47.148+00:00","https://www.inaturalist.org/observations/37514155","http://creativecommons.org/licenses/by/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","CK Kelly","37514155","ck2az","Tue Jan 07 2020 14:24:04 GMT-0700 (MST)","iNaturalist research-grade observations","2557766683","Nelle Ave, Alamogordo, NM, US","Observations","https://www.inaturalist.org/observations/37514155","127159","CK Kelly","37514155","iNaturalist","21:24:04Z","bugman1388","wild","83399859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Asclepias subverticillata (Gray) Vail","-105.7991","37.43512","cdround","gbif","2963744345","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:45:53.314+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-10-29T19:00:23","     5","Colorado","2020"," 3"," 6","2020-03-06","2020-10-30T00:41:48.000+00:00","2022-03-29T21:45:53.314+00:00","https://www.inaturalist.org/observations/39622951","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","rowz","39622951","rowz","2020-03-06 2:00:28 PM MST","iNaturalist research-grade observations","2963744345","SAND DUNES MO, CO 81101, USA","Observations","https://www.inaturalist.org/observations/39622951","127159","rowz","39622951","iNaturalist","21:00:28Z","Mark Fishbein","wild","139133532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Asclepias subverticillata (Gray) Vail","-111.0011","32.30037","cdround","gbif","3301886358","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:33:31.274+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-05-13T23:19:34","    12","Arizona","2020"," 3","14","2020-03-14","2021-06-03T15:06:12.000+00:00","2022-03-29T21:33:31.274+00:00","https://www.inaturalist.org/observations/45825633","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","kmats87","45825633","kmats87","Sat Mar 14 2020 16:05:46 GMT-0700 (MST)","iNaturalist research-grade observations","3301886358","W Gentle Brook Trail, Tucson, AZ, US","Observations","https://www.inaturalist.org/observations/45825633","127159","kmats87","45825633","iNaturalist","22:05:46Z","kmats87","wild","102746172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Asclepias subverticillata (Gray) Vail","-106.7237","35.19566","cdround","gbif","2963751360","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:06:07.557+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-04-26T19:51:41","     8","New Mexico","2020"," 4","26","2020-04-26","2020-10-29T16:32:11.000+00:00","2022-03-29T21:06:07.557+00:00","https://www.inaturalist.org/observations/43710260","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","dontomberlin","43710260","dontomberlin","2020/04/26 10:31 AM MDT","iNaturalist research-grade observations","2963751360","Ventana Ranch, Albuquerque, NM 87114, USA","Observations","https://www.inaturalist.org/observations/43710260","127159","dontomberlin","43710260","iNaturalist","16:31:00Z","dontomberlin","wild","98343406","Whorled Milkweed - Albuquerque, Bernalillo, New Mexico - Asclepia verticellaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Asclepias subverticillata (Gray) Vail","-106.6035","31.87698","cdround","gbif","2626594924","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:20:13.421+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-05-16T17:33:04","   196","Texas","2020"," 5","16","2020-05-16","2020-05-19T16:59:46.000+00:00","2022-03-29T21:20:13.421+00:00","https://www.inaturalist.org/observations/46110635","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","sabimax","46110635","sabimax","2020/05/16 9:00 AM MDT","iNaturalist research-grade observations","2626594924","Valley Creek North, El Paso, TX 79932, USA","Observations","https://www.inaturalist.org/observations/46110635","127159","sabimax","46110635","iNaturalist","15:00:00Z","dionaea","wild","103317139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Asclepias subverticillata (Gray) Vail","-106.6475","35.08555","cdround","gbif","2634472622","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:21:12.037+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-05-25T21:53:57","    65","New Mexico","2020"," 5","25","2020-05-25","2020-05-29T21:18:35.000+00:00","2022-03-29T21:21:12.037+00:00","https://www.inaturalist.org/observations/47330440","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Dustin Chavez-Davis","47330440","dchavezdavisii","Mon May 25 2020 08:46:18 GMT-0600 (MDT)","iNaturalist research-grade observations","2634472622","First St NW, Albuquerque, NM, US","Observations","https://www.inaturalist.org/observations/47330440","127159","Dustin Chavez-Davis","47330440","iNaturalist","14:46:18Z","Dustin Chavez-Davis","wild","105690440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Asclepias subverticillata (Gray) Vail","-112.4276","34.58158","cdround","gbif","2984535378","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:45:50.111+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-05-29T23:51:17","     5","Arizona","2020"," 5","29","2020-05-29","2020-11-13T19:05:27.000+00:00","2022-03-29T21:45:50.111+00:00","https://www.inaturalist.org/observations/47789529","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","saponcho","47789529","saponcho","Fri May 29 2020 16:47:29 GMT-0700 (MST)","iNaturalist research-grade observations","2984535378","N State Rte 89, Prescott, AZ, US","Observations","https://www.inaturalist.org/observations/47789529","127159","saponcho","47789529","iNaturalist","22:47:29Z","saponcho","wild","106629917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Asclepias subverticillata (Gray) Vail","-111.6189","35.22551","cdround","gbif","2641313611","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:32:26.718+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-06-05T20:06:52","  1711","Arizona","2020"," 6"," 3","2020-06-03","2020-06-05T21:01:08.000+00:00","2022-03-29T21:32:26.718+00:00","https://www.inaturalist.org/observations/48496515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","dellakilleen","48496515","dellakilleen","Wed Jun 03 2020 19:19:05 GMT-0700 (MST)","iNaturalist research-grade observations","2641313611","Coconino National Forest, Flagstaff, AZ, US","Observations","https://www.inaturalist.org/observations/48496515","127159","dellakilleen","48496515","iNaturalist","01:19:05Z","Mike Plagens","wild","108194674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Asclepias subverticillata (Gray) Vail","-106.7782","35.17363","cdround","gbif","2641542992","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:06:08.905+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-06-07T12:25:06"," 28734","New Mexico","2020"," 6"," 3","2020-06-03","2020-06-07T20:50:48.000+00:00","2022-03-29T21:06:08.905+00:00","https://www.inaturalist.org/observations/48767591","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","ellen hildebrandt","48767591","ellen5","2020-06-03","iNaturalist research-grade observations","2641542992","New Mexico, US","Observations","https://www.inaturalist.org/observations/48767591","127159","ellen hildebrandt","48767591","iNaturalist",NA,"ellen hildebrandt","wild","108564746",NA,"Coordinate uncertainty increased to 28734m at the request of the observer","flowering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Asclepias subverticillata (Gray) Vail","-106.4818","35.18031","cdround","gbif","2802592106","Asclepias subverticillata (Gray) Vail","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-29T17:28:18.996+00:00","2022-03-29T21:15:54.666+00:00","298","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170284","6","7707728","220","412","6701","3170229","3170284","3170284","Asclepias subverticillata (Gray) Vail","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias subverticillata","Asclepias","subverticillata","SPECIES","ACCEPTED","NE","2020-06-13T01:42:24","    11","New Mexico","2020"," 6","11","2020-06-11","2020-07-17T04:15:02.000+00:00","2022-03-29T21:15:54.666+00:00","https://www.inaturalist.org/observations/49384060","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","suewhip","49384060","suewhip","Thu Jun 11 2020 18:51:20 GMT-0600 (MDT)","iNaturalist research-grade observations","2802592106","Big Horn Ridge Dr NE, Albuquerque, NM, US","Observations","https://www.inaturalist.org/observations/49384060","127159","suewhip","49384060","iNaturalist","00:51:20Z","dionaea","wild","109822765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
