name,longitude,latitude,stateProvince,year,month,day,eventDate,individualCount
Asclepias subverticillata (Gray) Vail,-106.048233,31.9027,Texas,2017,8,8,2017-08-08,1
Asclepias subverticillata (Gray) Vail,-109.268806,31.328031,Sonora,2011,6,8,2011-06-08,1
Asclepias subverticillata (Gray) Vail,-106.274284,28.508839,Chihuahua,2010,5,20,2010-05-20,1
Asclepias subverticillata (Gray) Vail,-104.378183,32.177083,New Mexico,2010,8,5,2010-08-05,1
Asclepias subverticillata (Gray) Vail,-108.905,31.321944,Sonora,2009,9,29,2009-09-29,1
Asclepias subverticillata (Gray) Vail,-96.73556,17.08222,Oaxaca,2007,4,23,2007-04-23,1
Asclepias subverticillata (Gray) Vail,-105.959083,36.207917,New Mexico,2007,7,13,2007-07-13,1
Asclepias subverticillata (Gray) Vail,-111.05356,28.01536,Sonora,2007,11,9,2007-11-09,1
Asclepias subverticillata (Gray) Vail,-112.367,37.0376,Utah,2007,11,1,2007-11-01,1
Asclepias subverticillata (Gray) Vail,-105.671333,32.538,New Mexico,2005,9,11,2005-09-11,1
Asclepias subverticillata (Gray) Vail,-105.970167,32.009,New Mexico,2005,9,3,2005-09-03,1
Asclepias subverticillata (Gray) Vail,-108.945833,32.162667,New Mexico,2004,5,19,2004-05-19,1
Asclepias subverticillata (Gray) Vail,-104.298611,30.544167,Texas,2004,8,8,2004-08-08,1
Asclepias subverticillata (Gray) Vail,-108.628889,37.481945,Colorado,2002,7,24,2002-07-24,1
Asclepias subverticillata (Gray) Vail,-105.561441,33.3284,New Mexico,2002,8,24,2002-08-24,1
Asclepias subverticillata (Gray) Vail,-105.841902,32.894801,New Mexico,2002,8,11,2002-08-11,1
Asclepias subverticillata (Gray) Vail,-109.561111,31.313611,Sonora,2002,9,10,2002-09-10,1
Asclepias subverticillata (Gray) Vail,-109.81833,32.235,Arizona,2002,9,19,2002-09-19,1
Asclepias subverticillata (Gray) Vail,-105.62673,33.37847,New Mexico,2002,9,6,2002-09-06,1
Asclepias subverticillata (Gray) Vail,-107.616667,38.85,Colorado,2001,7,3,2001-07-03,1
Asclepias subverticillata (Gray) Vail,-106.185278,35.058611,New Mexico,2001,8,11,2001-08-11,1
Asclepias subverticillata (Gray) Vail,-104.211111,37.199444,Colorado,2001,8,18,2001-08-18,1
Asclepias subverticillata (Gray) Vail,-106.408,35.203,New mexico,2001,NA,NA,2001-01-01,1
Asclepias subverticillata (Gray) Vail,-100.561111,24.969719,Nuevo leon,2000,6,29,2000-06-29,1
Asclepias subverticillata (Gray) Vail,-100.561111,24.969719,Nuevo leon,2000,7,23,2000-07-23,1
Asclepias subverticillata (Gray) Vail,-105.0985,32.04,New Mexico,2000,9,17,2000-09-17,1
Asclepias subverticillata (Gray) Vail,-107.565278,27.131944,Chihuahua,1999,3,18,1999-03-18,1
Asclepias subverticillata (Gray) Vail,-106.647803,32.397184,New Mexico,1999,9,22,1999-09-22,1
Asclepias subverticillata (Gray) Vail,-107.12,34.055278,New Mexico,1998,7,7,1998-07-07,5
Asclepias subverticillata (Gray) Vail,-104.707692,32.261808,New Mexico,1998,9,7,1998-09-07,1
Asclepias subverticillata (Gray) Vail,-107.63145,30.181794,Chihuahua,1997,7,8,1997-07-08,1
Asclepias subverticillata (Gray) Vail,-107.709175,29.492817,Chihuahua,1997,7,15,1997-07-15,1
Asclepias subverticillata (Gray) Vail,-107.790729,31.805796,New Mexico,1997,7,13,1997-07-13,1
Asclepias subverticillata (Gray) Vail,-107.188734,33.986993,New Mexico,1997,7,20,1997-07-20,1
Asclepias subverticillata (Gray) Vail,-108.53079,31.918066,New Mexico,1997,8,31,1997-08-31,1
Asclepias subverticillata (Gray) Vail,-105.5981,35.0047,New Mexico,1996,7,30,1996-07-30,1
Asclepias subverticillata (Gray) Vail,-104.797222,31.911111,Texas,1996,8,16,1996-08-16,1
Asclepias subverticillata (Gray) Vail,-105.83333,35.66666,New Mexico,1994,6,3,1994-06-03,2
Asclepias subverticillata (Gray) Vail,-104.30833,24.04556,Durango,1992,9,NA,1992-09-01,1
Asclepias subverticillata (Gray) Vail,-106.558333,31.866667,Texas,1991,6,1,1991-06-01,1
Asclepias subverticillata (Gray) Vail,-106.096389,31.892222,Texas,1991,6,25,1991-06-25,1
Asclepias subverticillata (Gray) Vail,-100.180281,23.672219,Nuevo leon,1990,7,31,1990-07-31,1
Asclepias subverticillata (Gray) Vail,-100.18028,23.67222,Nuevo leon,1990,7,31,1990-07-31,1
Asclepias subverticillata (Gray) Vail,-107.618124,32.242832,New Mexico,1990,9,3,1990-09-03,1
